epoch,accuracy,loss,val_accuracy,val_loss
0,0.7089999914169312,0.7946349382400513,0.8274999856948853,0.35780617594718933
1,0.8080000281333923,0.4341413676738739,0.856249988079071,0.3258814513683319
2,0.8730000257492065,0.3202332854270935,0.84375,0.42560863494873047
3,0.8830000162124634,0.31347814202308655,0.8837500214576721,0.28406238555908203
4,0.902999997138977,0.26162222027778625,0.7400000095367432,0.9366563558578491
5,0.9079999923706055,0.24209687113761902,0.8650000095367432,0.44564273953437805
6,0.9380000233650208,0.17096979916095734,0.8987500071525574,0.328349769115448
7,0.9340000152587891,0.15675170719623566,0.8862500190734863,0.4533436894416809
8,0.9390000104904175,0.17309929430484772,0.8924999833106995,0.42404165863990784
9,0.9549999833106995,0.13361676037311554,0.9100000262260437,0.3967575430870056
